id,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,time_stamp
ether-fi-staked-eth,ether.fi Staked ETH,3609.03,886287920,12324.29,3718.44,3606.65,-0.9917,2025-01-07T12:32:19.819Z,07-01-2025_18-11-46
wbnb,Wrapped BNB,725.36,884973985,259623912.0,744.25,714.49,1.18413,2025-01-07T12:32:13.730Z,07-01-2025_18-11-46
reserve-rights-token,Reserve Rights,0.01618992,872635790,57196778.0,0.01728511,0.01618732,-3.06933,2025-01-07T12:32:15.762Z,07-01-2025_18-11-46
arbitrum-bridged-wbtc-arbitrum-one,Arbitrum Bridged WBTC (Arbitrum One),100513.0,860203115,99307160.0,102166.0,98481.0,1.43608,2025-01-07T12:32:16.897Z,07-01-2025_18-11-46
echelon-prime,Echelon Prime,16.17,856064556,27093551.0,18.4,16.16,-9.68743,2025-01-07T12:32:19.635Z,07-01-2025_18-11-46
chiliz,Chiliz,0.092512,852876191,120147476.0,0.097228,0.092501,-2.42322,2025-01-07T12:32:21.070Z,07-01-2025_18-11-46
conflux-token,Conflux,0.174269,840973251,59720721.0,0.181102,0.174226,-1.39254,2025-01-07T12:32:18.783Z,07-01-2025_18-11-46
pendle,Pendle,5.15,838254609,43954500.0,5.53,5.14,-3.84737,2025-01-07T12:32:14.778Z,07-01-2025_18-11-46
gigachad-2,Gigachad,0.087156,837035775,25337706.0,0.093684,0.087137,-3.33496,2025-01-07T12:32:11.247Z,07-01-2025_18-11-46
wormhole,Wormhole,0.296029,831281963,94994207.0,0.316519,0.29601,-3.56295,2025-01-07T12:32:20.536Z,07-01-2025_18-11-46
l2-standard-bridged-weth-base,L2 Standard Bridged WETH (Base),3628.69,830865362,1064555162.0,3734.28,3624.9,-0.6233,2025-01-07T12:32:20.265Z,07-01-2025_18-11-46
eigenlayer,Eigenlayer,3.92,825660411,93599113.0,4.24,3.9,-3.08438,2025-01-07T12:32:20.123Z,07-01-2025_18-11-46
zksync,ZKsync,0.221041,812348778,142206642.0,0.228055,0.21811,-1.57988,2025-01-07T12:32:13.308Z,07-01-2025_18-11-46
jupiter-staked-sol,Jupiter Staked SOL,228.07,803551750,40556291.0,237.84,228.29,-1.63663,2025-01-07T12:32:12.002Z,07-01-2025_18-11-46
pancakeswap-token,PancakeSwap,2.7,789177673,125367986.0,2.9,2.7,-4.52118,2025-01-07T12:32:14.775Z,07-01-2025_18-11-46
arbitrum-bridged-weth-arbitrum-one,Arbitrum Bridged WETH (Arbitrum One),3626.87,785214880,429325007.0,3735.61,3625.27,-0.72162,2025-01-07T12:32:19.102Z,07-01-2025_18-11-46
mina-protocol,Mina Protocol,0.648145,780249042,51486698.0,0.677361,0.645259,-1.56963,2025-01-07T12:32:14.062Z,07-01-2025_18-11-46
popcat,Popcat,0.791599,775583728,63313505.0,0.903425,0.791573,-8.38865,2025-01-07T12:32:15.251Z,07-01-2025_18-11-46
ecash,eCash,3.796e-05,750031055,44818413.0,3.965e-05,3.761e-05,0.91295,2025-01-07T12:32:19.676Z,07-01-2025_18-11-46
ronin,Ronin,1.99,746556009,12076825.0,2.07,1.99,-0.98326,2025-01-07T12:32:14.907Z,07-01-2025_18-11-46
usdd,USDD,0.995417,745339978,2245250.0,1.009,0.992145,-0.10266,2025-01-07T12:32:18.077Z,07-01-2025_18-11-46
compound-governance-token,Compound,82.62,732940146,47501628.0,87.57,82.53,-3.25434,2025-01-07T12:32:18.709Z,07-01-2025_18-11-46
gnosis,Gnosis,281.31,728493476,7153203.0,285.57,281.12,-1.42183,2025-01-07T12:32:20.994Z,07-01-2025_18-11-46
havven,Synthetix Network,2.12,719710707,33655806.0,2.27,2.12,-3.41697,2025-01-07T12:32:10.961Z,07-01-2025_18-11-46
dydx,dYdX,1.59,715914977,58137109.0,1.7,1.59,-1.60732,2025-01-07T12:32:20.671Z,07-01-2025_18-11-46
peanut-the-squirrel,Peanut the Squirrel,0.706393,706257704,379446791.0,0.769669,0.703781,-2.53283,2025-01-07T12:32:15.425Z,07-01-2025_18-11-46
mantle-restaked-eth,Mantle Restaked ETH,3812.87,704617979,9442576.0,3932.78,3812.31,-0.90184,2025-01-07T12:32:13.592Z,07-01-2025_18-11-46
grass,Grass,2.88,703437877,134297421.0,3.24,2.86,-8.40123,2025-01-07T12:32:11.432Z,07-01-2025_18-11-46
dog-go-to-the-moon-rune,Dog (Bitcoin),0.00684839,684181081,21151154.0,0.00745338,0.00682028,-6.72186,2025-01-07T12:32:19.667Z,07-01-2025_18-11-46
notcoin,Notcoin,0.00667635,683846319,80218873.0,0.00703042,0.0066576,-1.92618,2025-01-07T12:32:14.074Z,07-01-2025_18-11-46
superfarm,SuperVerse,1.51,683820486,17425324.0,1.63,1.5,-3.20719,2025-01-07T12:32:17.022Z,07-01-2025_18-11-46
turbo,Turbo,0.00975074,672592185,83651656.0,0.01044634,0.00973314,-3.79281,2025-01-07T12:32:17.901Z,07-01-2025_18-11-46
